productid	productndc	producttypename	proprietaryname	proprietarynamesuffix	nonproprietaryname	dosageformname	routename	startmarketingdate	endmarketingdate	marketingcategoryname	applicationnumber	labelername	substancename	active_numerator_strength	active_ingred_unit	pharm_classes	deaschedule	ndcpackagecode	packagedescription	fmtPackageCode
0338-1130_9afdcc3e-0d06-47f4-86ca-40da48b2b02b	0338-1130	HUMAN PRESCRIPTION DRUG	Premasol - sulfite-free (Amino Acid)		LEUCINE, LYSINE ACETATE, ISOLEUCINE, VALINE, HISTIDINE, PHENYLALANINE, THREONINE, METHIONINE, TRYPTOPHAN, TYROSINE, N-ACETYL-TYROSINE, ARGININE, PROLINE, ALANINE, GLUTAMIC ACIDE, SERINE, GLYCINE, ASPA	INJECTION	INTRAVENOUS	20070508	NA	ANDA	ANDA075880	Baxter Healthcare Corporation	ALANINE; ARGININE; ASPARTIC ACID; CYSTEINE HYDROCHLORIDE; GLUTAMIC ACID; GLYCINE; HISTIDINE; ISOLEUCINE; LEUCINE; LYSINE ACETATE; METHIONINE; N-ACETYL-TYROSINE; PHENYLALANINE; PROLINE; SERINE; TAURINE; THREONINE; TRYPTOPHAN; TYROSINE; VALINE	5.4; 12; 3.2; .23; 5.25; 3.6; 4.8; 8.2; 14; 11.57; 3.4; 2.4; 4.8; 6.8; 3.8; .25; 4.2; 2; .44; 7.8	g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL; g/1000mL	Amino Acid [EPC],Amino Acids [Chemical/Ingredient],Carbamoyl Phosphate Synthetase 1 Activator [EPC],Carbamoyl Phosphate Synthetase 1 Activators [MoA]		0338-1130-04	1000 mL in 1 BAG (0338-1130-04) 	4-4-2 format
0362-6002_f019f064-2265-4ba6-be5d-7771f1e524d5	0362-6002	HUMAN OTC DRUG	SeptoSan	Hand Sanitizer	Alcohol	LIQUID	TOPICAL	20100930	NA	OTC MONOGRAPH NOT FINAL	part333E	Septodont, Inc.	ALCOHOL	60	L/100L			0362-6002-05	.0148 L in 1 BOTTLE, PLASTIC (0362-6002-05) 	4-4-2 format
0363-0375_8a82683c-447b-44f9-a5b7-d97f6d728f8e	0363-0375	HUMAN OTC DRUG	Anti-Diarrheal		Loperamides	TABLET	ORAL	20050503	NA	ANDA	ANDA076497	WALGREEN CO.	LOPERAMIDE HYDROCHLORIDE	2	mg/1			0363-0375-07	1 BLISTER PACK in 1 CARTON (0363-0375-07)  > 36 TABLET in 1 BLISTER PACK	4-4-2 format
0363-0823_98f82988-f3ee-4fbe-864c-a9e7d67e21e1	0363-0823	HUMAN OTC DRUG	Triple Antibiotic with Pain Relief	Maximum Strength	bacitracin zinc,neomycin sulfate, polymyxin b sulfate, pramoxine hydrochloride	OINTMENT	TOPICAL	20100312	NA	OTC MONOGRAPH FINAL	part333B	Walgreen Company	BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE	500; 3.5; 10000; 10	[USP'U]/g; mg/g; [USP'U]/g; mg/g			0363-0823-34	1 TUBE in 1 CARTON (0363-0823-34)  > 14 g in 1 TUBE	4-4-2 format
0363-1677_19426c0e-9608-4da0-bf1c-7a16b1f6d1b8	0363-1677	HUMAN OTC DRUG	Walgreens Sterile Advance Relief Eye Drops		Dextran, Polyethylene Glycol, Povidone, Tetrahydrozoline Hydrochloride	SOLUTION/ DROPS	OPHTHALMIC	20131002	NA	OTC MONOGRAPH FINAL	part349	Walgreens Company	DEXTRAN 70; POLYETHYLENE GLYCOL 400; POVIDONE; TETRAHYDROZOLINE HYDROCHLORIDE	.001; .01; .01; .0005	mg/mg; mg/mg; mg/mg; mg/mg			0363-1677-15	1 BOTTLE, DROPPER in 1 BOX (0363-1677-15)  > 15 mg in 1 BOTTLE, DROPPER	4-4-2 format
0378-1066_49961ff9-bb36-431a-90bc-2d16f777808a	0378-1066	HUMAN PRESCRIPTION DRUG	Meloxicam		meloxicam	TABLET	ORAL	20120828	NA	ANDA	ANDA077923	Mylan Pharmaceuticals Inc.	MELOXICAM	7.5	mg/1	Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]		0378-1066-01	100 TABLET in 1 BOTTLE, PLASTIC (0378-1066-01) 	4-4-2 format
0378-2800_0e2a2cb6-e453-4060-95f4-a8ce4ccecc10	0378-2800	HUMAN PRESCRIPTION DRUG	Cabergoline		cabergoline	TABLET	ORAL	20131202	NA	ANDA	ANDA202947	Mylan Pharmaceuticals Inc.	CABERGOLINE	.5	mg/1	Ergolines [Chemical/Ingredient],Ergot Derivative [EPC]		0378-2800-93	30 TABLET in 1 BOTTLE, PLASTIC (0378-2800-93) 	4-4-2 format
0378-4187_52182363-7101-4b01-b6ef-b9104262f72a	0378-4187	HUMAN PRESCRIPTION DRUG	Sertraline Hydrochloride		sertraline	TABLET, FILM COATED	ORAL	20070206	NA	ANDA	ANDA076671	Mylan Pharmaceuticals Inc.	SERTRALINE HYDROCHLORIDE	50	mg/1	Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		0378-4187-05	500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-4187-05) 	4-4-2 format
0378-4261_5e0cccb0-4b46-41ae-8822-97733c2914b0	0378-4261	HUMAN PRESCRIPTION DRUG	Zolmitriptan		zolmitriptan	TABLET, FILM COATED	ORAL	20130514	NA	ANDA	ANDA203186	Mylan Pharmaceuticals Inc.	ZOLMITRIPTAN	5	mg/1	Serotonin 1b Receptor Agonists [MoA],Serotonin 1d Receptor Agonists [MoA],Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]		0378-4261-53	3 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-4261-53) 	4-4-2 format
0378-5445_bfc370b4-6a62-44de-a353-dd59768e3133	0378-5445	HUMAN PRESCRIPTION DRUG	Tolterodine Tartrate		tolterodine	TABLET, FILM COATED	ORAL	20121128	NA	ANDA	ANDA202641	Mylan Pharmaceuticals Inc.	TOLTERODINE TARTRATE	1	mg/1	Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]		0378-5445-69	140 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-5445-69) 	4-4-2 format
0378-6281_2a1e6416-adf0-4911-ba5d-e767cd56cdd1	0378-6281	HUMAN PRESCRIPTION DRUG	Diclofenac Sodium		diclofenac sodium	TABLET, DELAYED RELEASE	ORAL	20120717	NA	ANDA	ANDA075281	Mylan Pharmaceuticals Inc.	DICLOFENAC SODIUM	75	mg/1	Cyclooxygenase Inhibitors [MoA],Decreased Prostaglandin Production [PE],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]		0378-6281-01	100 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0378-6281-01) 	4-4-2 format
0404-4445_060de390-968b-4cc1-8206-e5d952711d9a	0404-4445	HUMAN OTC DRUG	Hand Sanitizer		benzalkonium chloride	LIQUID	TOPICAL	20130130	NA	OTC MONOGRAPH NOT FINAL	part333E	Henry Schein, Inc.	BENZALKONIUM CHLORIDE	7.49	g/L			0404-4445-02	.55 L in 1 BOTTLE, PUMP (0404-4445-02) 	4-4-2 format
0406-0367_b443a7fb-5c2f-4760-8dfa-8740433f7882	0406-0367	HUMAN PRESCRIPTION DRUG	HYDROCODONE BITARTRATE AND ACETAMINOPHEN		HYDROCODONE BITARTRATE AND ACETAMINOPHEN	TABLET	ORAL	20100422	NA	ANDA	ANDA040400	Mallinckrodt, Inc.	ACETAMINOPHEN; HYDROCODONE BITARTRATE	325; 10	mg/1; mg/1	Opioid Agonist [EPC],Opioid Agonists [MoA]	CIII	0406-0367-05	500 TABLET in 1 BOTTLE (0406-0367-05) 	4-4-2 format
0409-1560_94b18666-79b1-4baf-a9ba-be34b8066075	0409-1560	HUMAN PRESCRIPTION DRUG	Marcaine		BUPIVACAINE HYDROCHLORIDE	INJECTION, SOLUTION	EPIDURAL; INFILTRATION	20100504	NA	NDA	NDA016964	Hospira, Inc.	BUPIVACAINE HYDROCHLORIDE	5	mg/mL	Amide Local Anesthetic [EPC],Amides [Chemical/Ingredient],Local Anesthesia [PE]		0409-1560-10	10 VIAL, SINGLE-DOSE in 1 TRAY (0409-1560-10)  > 10 mL in 1 VIAL, SINGLE-DOSE	4-4-2 format
0409-7517_f6f7a7b5-9387-4377-8ac0-209c29ddf2d3	0409-7517	HUMAN PRESCRIPTION DRUG	Dextrose		DEXTROSE MONOHYDRATE	INJECTION, SOLUTION	INTRAVENOUS	19860603	NA	NDA	NDA019445	Hospira, Inc.	DEXTROSE MONOHYDRATE	25	g/50mL			0409-7517-16	10 CARTON in 1 CONTAINER (0409-7517-16)  > 1 SYRINGE, PLASTIC in 1 CARTON > 50 mL in 1 SYRINGE, PLASTIC	4-4-2 format
0463-6050_0bb7f0d2-2fb8-4e6f-a96e-cc0e99b3e150	0463-6050	HUMAN PRESCRIPTION DRUG	benzphetamine hydrochloride		benzphetamine hydrochloride	TABLET	ORAL	20111101	NA	ANDA	ANDA090473	C.O. Truxton, Inc.	BENZPHETAMINE HYDROCHLORIDE	50	mg/1	Appetite Suppression [PE],Increased Sympathetic Activity [PE],Sympathomimetic Amine Anorectic [EPC]	CIII	0463-6050-05	500 TABLET in 1 BOTTLE, PLASTIC (0463-6050-05) 	4-4-2 format
0485-0204_b2ab97d0-74a0-4fd3-9601-20ee202dcc04	0485-0204	HUMAN OTC DRUG	Rynex	DM	Brompheniramine Maleate, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride	LIQUID	ORAL	20110314	NA	OTC MONOGRAPH FINAL	part341	Edwards Pharmaceuticals, Inc	BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE	1; 5; 2.5	mg/5mL; mg/5mL; mg/5mL			0485-0204-04	118 mL in 1 BOTTLE, PLASTIC (0485-0204-04) 	4-4-2 format
0498-0020_c2d671d6-ab13-4025-8112-3655ec30f15a	0498-0020	HUMAN OTC DRUG	North Burn		Benzocaine, Benzethonium chloride, Menthol	SPRAY	TOPICAL	20130405	NA	OTC MONOGRAPH NOT FINAL	part348	North Safety Products	BENZETHONIUM CHLORIDE; BENZOCAINE; MENTHOL	.2; 10; .33	g/100g; g/100g; g/100g			0498-0020-40	85 g in 1 CAN (0498-0020-40) 	4-4-2 format
0517-8905_2627d4f7-5db1-49e0-bf19-0027ab27197b	0517-8905	HUMAN PRESCRIPTION DRUG	Methyldopate Hydrochloride		Methyldopate Hydrochloride	INJECTION, SOLUTION	INTRAVENOUS	19950930	NA	ANDA	ANDA071279	American Regent, Inc.	METHYLDOPATE HYDROCHLORIDE	50	mg/mL	Adrenergic alpha2-Agonists [MoA],Central alpha-2 Adrenergic Agonist [EPC]		0517-8905-10	10 VIAL, SINGLE-DOSE in 1 BOX (0517-8905-10)  > 5 mL in 1 VIAL, SINGLE-DOSE	4-4-2 format
0519-1440_ee7b064a-2c79-4bc0-9182-032106c09296	0519-1440	HUMAN OTC DRUG	Soft N Sure Antiseptic		Alcohol	GEL	TOPICAL	20110316	NA	OTC MONOGRAPH NOT FINAL	part333E	STERIS Corporation	ALCOHOL	65	mL/100mL			0519-1440-41	1000 mL in 1 BOTTLE, PLASTIC (0519-1440-41) 	4-4-2 format
0519-6395_7a692571-05be-4644-8a94-8acb299cc47f	0519-6395	HUMAN OTC DRUG	Alcare Foamed Antiseptic Handrub		ALCOHOL	AEROSOL, FOAM	TOPICAL	19980120	NA	OTC MONOGRAPH NOT FINAL	part333E	STERIS Corporation	ALCOHOL	62	g/100g			0519-6395-36	255 g in 1 CAN (0519-6395-36) 	4-4-2 format
0555-0606_95aab0c8-051c-48ad-9b14-89572e2f4884	0555-0606	HUMAN PRESCRIPTION DRUG	Megestrol Acetate		Megestrol Acetate	TABLET	ORAL	19961025	NA	ANDA	ANDA074621	Barr Laboratories Inc.	MEGESTROL ACETATE	20	mg/1	Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]		0555-0606-02	100 TABLET in 1 BOTTLE (0555-0606-02) 	4-4-2 format
0591-0503_8486cdd6-244f-4c43-a897-13181ca76ba6	0591-0503	HUMAN PRESCRIPTION DRUG	Hydrocodone Bitartrate and Acetaminophen		Hydrocodone Bitartrate and Acetaminophen	TABLET	ORAL	19950929	20150131	ANDA	ANDA040094	Watson Laboratories, Inc.	ACETAMINOPHEN; HYDROCODONE BITARTRATE	650; 10	mg/1; mg/1	Opioid Agonist [EPC],Opioid Agonists [MoA]	CIII	0591-0503-01	100 TABLET in 1 BOTTLE, PLASTIC (0591-0503-01) 	4-4-2 format
0591-3249_c4bb08f5-a0dd-4302-b886-cc1cd04ca984	0591-3249	HUMAN PRESCRIPTION DRUG	Valacyclovir Hydrochloride		Valacyclovir Hydrochloride	TABLET, FILM COATED	ORAL	20100524	NA	ANDA	ANDA077135	Watson Laboratories, Inc.	VALACYCLOVIR HYDROCHLORIDE	1	g/1	DNA Polymerase Inhibitors [MoA],Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient]		0591-3249-30	30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0591-3249-30) 	4-4-2 format
0591-3798_b82da04a-7b9f-4726-aece-cb2f263401df	0591-3798	HUMAN PRESCRIPTION DRUG	Ipratropium Bromide		Ipratropium Bromide	SOLUTION	RESPIRATORY (INHALATION)	20110301	NA	ANDA	ANDA075693	Watson Laboratories, Inc.	IPRATROPIUM BROMIDE	.5	mg/2.5mL	Anticholinergic [EPC],Cholinergic Antagonists [MoA]		0591-3798-60	2 POUCH in 1 CARTON (0591-3798-60)  > 30 VIAL in 1 POUCH > 2.5 mL in 1 VIAL	4-4-2 format
0591-5442_c9a6bcf7-85ea-4847-ad36-30cdfa63b9cf	0591-5442	HUMAN PRESCRIPTION DRUG	Prednisone		Prednisone	TABLET	ORAL	19871101	NA	ANDA	ANDA085162	Watson Laboratories, Inc.	PREDNISONE	10	mg/1			0591-5442-05	500 TABLET in 1 BOTTLE (0591-5442-05) 	4-4-2 format
0597-0123_502bca5d-8b8a-4c1a-b162-c99329362251	0597-0123	HUMAN PRESCRIPTION DRUG	Viramune		nevirapine	TABLET, EXTENDED RELEASE	ORAL	20110411	NA	NDA	NDA201152	Boehringer Ingelheim Pharmaceuticals, Inc.	NEVIRAPINE	400	mg/1	Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Non-Nucleoside Analog [Chemical/Ingredient],Non-Nucleoside Reverse Transcriptase Inhibitors [MoA]		0597-0123-03	30 TABLET, EXTENDED RELEASE in 1 BOTTLE (0597-0123-03) 	4-4-2 format
0597-0140_c5c632ba-1476-47ac-93e6-ec6b70bb94d9	0597-0140	HUMAN PRESCRIPTION DRUG	Tradjenta		linagliptin	TABLET, FILM COATED	ORAL	20110509	NA	NDA	NDA201280	Boehringer Ingelheim Pharmaceuticals, Inc.	LINAGLIPTIN	5	mg/1	Dipeptidyl Peptidase 4 Inhibitors [MoA],Dipeptidyl Peptidase 4 Inhibitor [EPC]		0597-0140-70	1 BLISTER PACK in 1 CARTON (0597-0140-70)  > 7 TABLET, FILM COATED in 1 BLISTER PACK	4-4-2 format
0603-2949_405ab3a4-e758-477c-a987-8f45cf6e272e	0603-2949	HUMAN PRESCRIPTION DRUG	Clonazepam		clonazepam	TABLET	ORAL	20060628	NA	ANDA	ANDA077856	Qualitest Pharmaceuticals	CLONAZEPAM	1	mg/1	Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]	CIV	0603-2949-60	45 TABLET in 1 BOTTLE, PLASTIC (0603-2949-60) 	4-4-2 format
0603-4654_61e06f1e-8698-47c0-aa7e-9e2a6fc4090b	0603-4654	HUMAN PRESCRIPTION DRUG	Montelukast Sodium		montelukast sodium	TABLET, CHEWABLE	ORAL	20120803	NA	ANDA	ANDA091588	Qualitest Pharmaceuticals	MONTELUKAST SODIUM	5	mg/1	Leukotriene Receptor Antagonist [EPC],Leukotriene Receptor Antagonists [MoA]		0603-4654-02	90 TABLET, CHEWABLE in 1 BOTTLE (0603-4654-02) 	4-4-2 format
0603-5062_98f9c536-f4a0-4eb9-9749-2e1c24cb9136	0603-5062	HUMAN PRESCRIPTION DRUG	Perphenazine		perphenazine	TABLET, FILM COATED	ORAL	19981231	NA	ANDA	ANDA040226	Qualitest Pharmaceuticals	PERPHENAZINE	8	mg/1	Phenothiazine [EPC],Phenothiazines [Chemical/Ingredient]		0603-5062-28	500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0603-5062-28) 	4-4-2 format
0603-5336_9a0d8ce6-38d2-452a-a316-39d6a745decb	0603-5336	HUMAN PRESCRIPTION DRUG	Prednisone		Prednisone	TABLET	ORAL	20041221	NA	ANDA	ANDA040581	Qualitest Pharmaceuticals	PREDNISONE	2.5	mg/1			0603-5336-32	1000 TABLET in 1 BOTTLE, PLASTIC (0603-5336-32) 	4-4-2 format
0603-7864_2f4bef20-72fa-4bd2-8c9c-d1aa8d9a74a3	0603-7864	HUMAN PRESCRIPTION DRUG	Triamcinolone Acetonide		Triamcinolone Acetonide	LOTION	TOPICAL	20061213	NA	ANDA	ANDA040672	Qualitest Pharmaceuticals	TRIAMCINOLONE ACETONIDE	1	mg/mL	Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]		0603-7864-49	60 mL in 1 BOTTLE, PLASTIC (0603-7864-49) 	4-4-2 format
0615-1592_1a989f28-0766-4bc9-ad9b-c0beaefa7fe8	0615-1592	HUMAN PRESCRIPTION DRUG	Allopurinol		Allopurinol	TABLET	ORAL	19861024	NA	NDA AUTHORIZED GENERIC	NDA018659	NCS HealthCare of KY, Inc dba Vangard Labs	ALLOPURINOL	100	mg/1	Xanthine Oxidase Inhibitor [EPC],Xanthine Oxidase Inhibitors [MoA]		0615-1592-05	15 TABLET in 1 BLISTER PACK (0615-1592-05) 	4-4-2 format
0615-1592_1a989f28-0766-4bc9-ad9b-c0beaefa7fe8	0615-1592	HUMAN PRESCRIPTION DRUG	Allopurinol		Allopurinol	TABLET	ORAL	19861024	NA	NDA AUTHORIZED GENERIC	NDA018659	NCS HealthCare of KY, Inc dba Vangard Labs	ALLOPURINOL	100	mg/1	Xanthine Oxidase Inhibitor [EPC],Xanthine Oxidase Inhibitors [MoA]		0615-1592-31	31 TABLET in 1 BLISTER PACK (0615-1592-31) 	4-4-2 format
0615-4536_21a6d2e6-8373-4f3f-8274-84e888b1dd6d	0615-4536	HUMAN PRESCRIPTION DRUG	Bumetanide		Bumetanide	TABLET	ORAL	20071016	NA	ANDA	ANDA074225	NCS HealthCare of KY, Inc dba Vangard Labs	BUMETANIDE	1	mg/1	Increased Diuresis at Loop of Henle [PE],Loop Diuretic [EPC]		0615-4536-39	30 TABLET in 1 BLISTER PACK (0615-4536-39) 	4-4-2 format
0615-6500_e897d664-2a02-4d94-ab61-93252204ccd7	0615-6500	HUMAN PRESCRIPTION DRUG	Methimazole		Methimazole	TABLET	ORAL	20010327	NA	ANDA	ANDA040411	NCS HealthCare of KY, Inc dba Vangard Labs	METHIMAZOLE	5	mg/1	Thyroid Hormone Synthesis Inhibitor [EPC],Thyroid Hormone Synthesis Inhibitors [MoA]		0615-6500-39	30 TABLET in 1 BLISTER PACK (0615-6500-39) 	4-4-2 format
0615-7643_35e2befc-faf9-486b-97d3-71f98e7e6982	0615-7643	HUMAN PRESCRIPTION DRUG	Lisinopril		Lisinopril	TABLET, FILM COATED	ORAL	20070419	NA	ANDA	ANDA078402	NCS HealthCare of KY, Inc dba Vangard Labs	LISINOPRIL	30	mg/1	Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA]		0615-7643-39	30 TABLET, FILM COATED in 1 BLISTER PACK (0615-7643-39) 	4-4-2 format
0615-7713_de2d67e7-bf27-4764-bbc6-aef1db4f7ea2	0615-7713	HUMAN PRESCRIPTION DRUG	Cilostazol		Cilostazol	TABLET	ORAL	20120323	NA	ANDA	ANDA077027	NCS HealthCare of KY, Inc dba Vangard Labs	CILOSTAZOL	100	mg/1	Phosphodiesterase 3 Inhibitor [EPC],Phosphodiesterase 3 Inhibitors [MoA]		0615-7713-39	30 TABLET in 1 BLISTER PACK (0615-7713-39) 	4-4-2 format
0703-3067_e4cdac2c-f822-40e7-8bc6-9396e32d64f8	0703-3067	HUMAN PRESCRIPTION DRUG	Epirubicin Hydrochloride		Epirubicin Hydrochloride	INJECTION, SOLUTION	INTRAVENOUS	20070809	NA	ANDA	ANDA065331	Teva Parenteral Medicines, Inc.	EPIRUBICIN HYDROCHLORIDE	50	mg/25mL	Anthracycline Topoisomerase Inhibitor [EPC],Anthracyclines [Chemical/Ingredient],Topoisomerase Inhibitors [MoA]		0703-3067-11	1 VIAL, SINGLE-USE in 1 CARTON (0703-3067-11)  > 25 mL in 1 VIAL, SINGLE-USE	4-4-2 format
0703-4434_774ba325-ce88-463d-8859-102c53dba1f9	0703-4434	HUMAN PRESCRIPTION DRUG	Irinotecan Hydrochloride		Irinotecan Hydrochloride	INJECTION, SOLUTION	INTRAVENOUS	20080227	NA	ANDA	ANDA090101	Teva Parenteral Medicines, Inc.	IRINOTECAN HYDROCHLORIDE	100	mg/5mL	Topoisomerase Inhibitor [EPC],Topoisomerase Inhibitors [MoA]		0703-4434-11	1 VIAL, SINGLE-DOSE in 1 CARTON (0703-4434-11)  > 5 mL in 1 VIAL, SINGLE-DOSE	4-4-2 format
0713-0109_84c0edcc-0771-f286-abc7-d6be0300629f	0713-0109	HUMAN OTC DRUG	BISAC-EVAC		Bisacodyl	SUPPOSITORY	RECTAL	19910522	NA	OTC MONOGRAPH NOT FINAL	part334	G&W Laboratories, Inc.	BISACODYL	10	mg/1			0713-0109-08	8 SUPPOSITORY in 1 CARTON (0713-0109-08) 	4-4-2 format
0781-1030_abc79c69-2f26-47df-8ead-b5ffadb62b7c	0781-1030	HUMAN PRESCRIPTION DRUG	Trifluoperazine Hydrochloride		Trifluoperazine Hydrochloride	TABLET, FILM COATED	ORAL	19811120	NA	ANDA	ANDA085785	Sandoz Inc	TRIFLUOPERAZINE HYDROCHLORIDE	1	mg/1	Phenothiazine [EPC],Phenothiazines [Chemical/Ingredient]		0781-1030-13	10 BLISTER PACK in 1 CARTON (0781-1030-13)  > 10 TABLET, FILM COATED in 1 BLISTER PACK	4-4-2 format
0781-1228_bc5385c0-9f93-4415-8f56-b0d2c63ad3e5	0781-1228	HUMAN PRESCRIPTION DRUG	Metoprolol Tartrate		Metoprolol Tartrate	TABLET, FILM COATED	ORAL	19940325	NA	ANDA	ANDA073289	Sandoz Inc	METOPROLOL TARTRATE	100	mg/1	Adrenergic beta-Antagonists [MoA],beta-Adrenergic Blocker [EPC]		0781-1228-05	500 TABLET, FILM COATED in 1 BOTTLE (0781-1228-05) 	4-4-2 format
0781-2617_b8bba858-4328-4b50-b0a6-76508cf07f6d	0781-2617	HUMAN PRESCRIPTION DRUG	Rivastigmine Tartrate		rivastigmine tartrate	CAPSULE	ORAL	20000430	NA	NDA	NDA020823	Sandoz Inc	RIVASTIGMINE TARTRATE	6	mg/1	Cholinesterase Inhibitor [EPC],Cholinesterase Inhibitors [MoA]		0781-2617-60	60 CAPSULE in 1 BOTTLE (0781-2617-60) 	4-4-2 format
0781-5150_2a5d1f34-37aa-49d2-8f28-73acc5589df9	0781-5150	HUMAN PRESCRIPTION DRUG	Repaglinide		Repaglinide	TABLET	ORAL	20140122	NA	ANDA	ANDA078555	Sandoz Inc	REPAGLINIDE	2	mg/1	Glinide [EPC],Potassium Channel Antagonists [MoA]		0781-5150-13	100 BLISTER PACK in 1 DOSE PACK (0781-5150-13)  > 1 TABLET in 1 BLISTER PACK	4-4-2 format
0781-5347_9bc98604-6c01-438d-86d1-9f9101f04cbd	0781-5347	HUMAN PRESCRIPTION DRUG	Quetiapine Fumarate		Quetiapine Fumarate	TABLET	ORAL	20130405	NA	ANDA	ANDA078679	Sandoz Inc	QUETIAPINE FUMARATE	300	mg/1	Atypical Antipsychotic [EPC]		0781-5347-10	1000 TABLET in 1 BOTTLE (0781-5347-10) 	4-4-2 format
0904-6025_d68a86fd-b08a-4a1f-a71b-3ca422c074d4	0904-6025	HUMAN OTC DRUG	peg 3350		Polyethylene Glycol 3350	POWDER, FOR SOLUTION	ORAL	20091008	NA	ANDA	ANDA090685	Major Pharmaceuticals	POLYETHYLENE GLYCOL 3350	17	g/17g			0904-6025-84	850 g in 1 BOTTLE (0904-6025-84) 	4-4-2 format
10096-0264_8703eef1-0559-471c-bc70-834965172d13	10096-0264	HUMAN OTC DRUG	Clearskin Professional	Acne Mark Treatment	Salicylic Acid	CREAM	TOPICAL	20110928	NA	OTC MONOGRAPH FINAL	part333D	Avon Products, Inc.	SALICYLIC ACID	1	mL/50mL			10096-0264-2	1 TUBE in 1 CARTON (10096-0264-2)  > 50 mL in 1 TUBE (10096-0264-1) 	5-4-1 format
10191-1905_8ac22923-6867-4a22-8ea7-0bfd666336ed	10191-1905	HUMAN OTC DRUG	FERRUM PHOSPHORICUM		FERROSOFERRIC PHOSPHATE	PELLET	SUBLINGUAL	20041014	NA	UNAPPROVED HOMEOPATHIC		Remedy Makers	FERRUM PHOSPHORICUM	6	[hp_C]/1			10191-1905-2	167 PELLET in 1 VIAL, GLASS (10191-1905-2) 	5-4-1 format
10424-163_82502704-48c1-440a-9b6c-23e577c630fd	10424-163	HUMAN OTC DRUG	SyFungin		CANDIDA PARAPSILOSIS	TABLET	ORAL	20130215	NA	UNAPPROVED HOMEOPATHIC		Syntrion GmbH	CANDIDA PARAPSILOSIS	4	[hp_X]/1			10424-163-02	9 BLISTER PACK in 1 CARTON (10424-163-02)  > 10 TABLET in 1 BLISTER PACK	5-3-2 format
10544-273_c54513d2-ddbd-4ace-a48b-a4fd2d8f6bec	10544-273	HUMAN PRESCRIPTION DRUG	Nabumetone		Nabumetone	TABLET	ORAL	20100324	NA	ANDA	ANDA076009	Blenheim Pharmacal, Inc.	NABUMETONE	500	mg/1	Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]		10544-273-20	20 TABLET in 1 BOTTLE (10544-273-20) 	5-3-2 format
10742-8221_8e017d71-f068-480b-9de5-4dc5f8b0c064	10742-8221	HUMAN OTC DRUG	OXY Clinical	Hydrating Therapy	Salicylic acid	CREAM	TOPICAL	20100601	NA	OTC MONOGRAPH FINAL	part333	The Mentholatum Company	SALICYLIC ACID	5	mg/g			10742-8221-1	1 TUBE in 1 CARTON (10742-8221-1)  > 56.6 g in 1 TUBE	5-4-1 format
10742-8526_304e3ac0-2eec-4550-8c90-555d381ca86f	10742-8526	HUMAN OTC DRUG	Softlips Berry		Lip Protectant Sunscreen	OINTMENT	TOPICAL	20100201	NA	OTC MONOGRAPH FINAL	part352	The Mentholatum Company	DIMETHICONE; OCTINOXATE; OCTISALATE; OXYBENZONE	20; 75; 30; 30	mg/g; mg/g; mg/g; mg/g			10742-8526-1	2 TUBE in 1 BOX (10742-8526-1)  > 2 g in 1 TUBE	5-4-1 format
